#contig	Length	BeeP-07-2013_filtered.bam	BeeP-19-2013_filtered.bam	BeeP-30-2013_filtered.bam	BeeP-02-2013_filtered.bam	BeeP-20-2013_filtered.bam	BeeP-01-2013_filtered.bam	BeeP-12-2013_filtered.bam	BeeP-06-2013_filtered.bam	BeeP-10-2013_filtered.bam	BeeP-09-2013_filtered.bam	BeeP-27-2013_filtered.bam	BeeP-08-2013_filtered.bam	BeeP-04-2013_filtered.bam	BeeP-28-2013_filtered.bam	BeeP-05-2013_filtered.bam	BeeP-18-2013_filtered.bam	BeeP-26-2013_filtered.bam	BeeP-24-2013_filtered.bam	BeeP-03-2013_filtered.bam	BeeP-29-2013_filtered.bam	BeeP-14-2013_filtered.bam	BeeP-31-2013_filtered.bam	BeeP-22-2013_filtered.bam	BeeP-21-2013_filtered.bam	BeeP-16-2013_filtered.bam	BeeP-33-2013_filtered.bam	BeeP-36-2013_filtered.bam	BeeP-13-2013_filtered.bam	BeeP-15-2013_filtered.bam	BeeP-23-2013_filtered.bam	BeeP-32-2013_filtered.bam	BeeP-34-2013_filtered.bam	BeeP-40-2013_filtered.bam	BeeP-25-2013_filtered.bam	BeeP-39-2013_filtered.bam	BeeP-35-2013_filtered.bam	BP17_filtered.bam	BeeP-37-2013_filtered.bam	BeeP-41-2013_filtered.bam	BP11_filtered.bam	BP20_filtered.bam	BP18_filtered.bam	BP12_filtered.bam	BeeP-42-2013_filtered.bam	BP22_filtered.bam	BP26_filtered.bam	BP19_filtered.bam	BP29_filtered.bam	BeeP-Q1-2013_filtered.bam	BeeP-50-2013_filtered.bam	BP10_filtered.bam	BP28_filtered.bam	BP27_filtered.bam	BP30_filtered.bam	BP25_filtered.bam	BP34_filtered.bam	BP35_filtered.bam	BP31_filtered.bam	BP21_filtered.bam	BeeP-38-2013_filtered.bam	BP24_filtered.bam	BP39_filtered.bam	BeeP-47-2013_filtered.bam	BeeP-43-2013_filtered.bam	BeeP-45-2013_filtered.bam	BP36_filtered.bam	BP38_filtered.bam	BeeP-46-2013_filtered.bam	BP43_filtered.bam	BP37_filtered.bam	BeeP-44-2013_filtered.bam	BP45_filtered.bam	BP44_filtered.bam	BeeP-Q2-2013_filtered.bam	BP42_filtered.bam	BP47_filtered.bam	BP41_filtered.bam	BP13_filtered.bam	BP16_filtered.bam	BeeP-48-2013_filtered.bam	BP33_filtered.bam	BP40_filtered.bam	BP48_filtered.bam	BeeP-49-2013_filtered.bam	BP46_filtered.bam	BP4_filtered.bam	BeeP-17-2013_filtered.bam	BP1_filtered.bam	BP9_filtered.bam	BP49_filtered.bam	BP32_filtered.bam	BP14_filtered.bam	BP2_filtered.bam	BP23_filtered.bam	BP5_filtered.bam	BP15_filtered.bam	BP8_filtered.bam	BP6_filtered.bam	BeeP-11-2013_filtered.bam	BP7_filtered.bam	BP3_filtered.bam	BP50_filtered.bam
BP10_NODE_15_length_10999_cov_3_671539	10999	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2349	0.0000	0.0000	0.0000	68.7295	0.0000	0.7044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0359	0.0000	0.2478	0.0000	0.2644	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_17_length_10491_cov_2_817936	10491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0603	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1203	0.0000	0.0000	0.0000	47.5278	0.0000	0.0000	0.0000	0.0453	0.0000	0.0000	0.4343	0.0000	0.0000	0.0000	0.0000	0.0378	0.0571	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7151	0.0000	0.0000	0.2466	0.0000	0.0000	0.0655	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3406	0.0000	0.0000	0.0000
BP10_NODE_19_length_9985_cov_1_363341	9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.1198	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0441	0.0000	0.0000	0.0000	0.0000	0.3511	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4195
BP10_NODE_20_length_9896_cov_2_133197	9896	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.2120	0.0000	0.0000	0.0000	40.2556	0.0000	0.0000	0.0000	0.6274	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2363	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2359	0.0000	0.0152	0.0000	0.0000	0.2372	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_21_length_9458_cov_1_370462	9458	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2098	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.1736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.8499	0.0000	0.0000	0.0000	0.0000	3.0899	0.0000	0.0000	0.4520
BP10_NODE_23_length_8719_cov_2_107932	8719	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3513	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	25.1410	0.0000	0.0000	0.0000	39.5485	0.0000	0.0000	0.0000	1.0920	0.0272	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6511	0.0000	0.0757	0.0000	0.0000	0.6398	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_25_length_7921_cov_2_524103	7921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0185	0.0000	0.0260	0.0000	45.1144	0.0000	0.0000	0.0000	0.0071	0.0000	0.0000	0.1117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3828	0.0000	0.0000	0.1791	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2867	0.0000	0.0000	0.0000
BP10_NODE_28_length_7743_cov_1_824849	7743	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.3512	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6831	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0642	0.0000	0.0000	0.0000
BP10_NODE_29_length_7682_cov_1_930829	7682	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0314	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.5949	0.0000	0.0000	0.0000	32.8152	0.0000	0.0000	0.0000	0.5176	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1744	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9400	0.0000	0.2146	0.0000	0.0000	0.5060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP10_NODE_37_length_7197_cov_2_076738	7197	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1325	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.3020	0.0000	1.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
