,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
31,Acinetobacter~phage~phiAB6,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
32,Acinetobacter~phage~phiAC-1,Caudovirales,Myoviridae,Ap22virus,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
33,Acinetobacter~phage~vB_AbaM_Acibel004,Caudovirales,Myoviridae,Unassigned,77_0,Clustered,2,VC_77_0,2,0.1519,0.95535907,0.1451,1,1,1,1.0
34,Acinetobacter~phage~vB_AbaM_phiAbaA1,Caudovirales,Myoviridae,Unassigned,77_0,Clustered,2,VC_77_0,2,0.1519,0.95535907,0.1451,1,1,1,1.0
35,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
36,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
37,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,34_0,Clustered,10,VC_34_0,10,0.3317,1.0,0.3317,1,1,1,1.0
38,Acinetobacter~phage~vB_AbaS_TRS1,Caudovirales,Siphoviridae,Unassigned,71_0,Clustered,3,VC_71_0,3,0.2707,0.91730355,0.2483,1,2,2,1.0
39,Acinetobacter~virus~133,Caudovirales,Myoviridae,Unassigned,59_19,Clustered,2,VC_59_19,2,0.0077,0.95636413,0.0074,1,1,1,1.0
40,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
41,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
42,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,59_0,Clustered,3,VC_59_0,3,0.0212,0.99860068,0.0212,1,1,1,1.0
43,Aeromonas~phage~pAh6-C,Caudovirales,Myoviridae,Unassigned,95_0,Clustered,6,VC_95_0,6,0.8742,1.0,0.8742,1,2,2,1.0
44,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
45,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,59_0,Clustered,3,VC_59_0,3,0.0212,0.99860068,0.0212,1,1,1,1.0
46,Aeromonas~phage~phiAS7,Caudovirales,Podoviridae,Unassigned,35_0,Clustered,5,VC_35_0,5,0.2207,0.99999997,0.2207,1,1,1,1.0
47,Aeromonas~phage~vB_AsaM-56,Caudovirales,Myoviridae,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
48,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,59_14,Clustered,5,VC_59_14,5,0.0338,0.99999996,0.0338,1,1,1,0.9
49,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,59_13,Clustered,2,VC_59_13,2,0.0084,0.95345565,0.008,2,1,1,1.0
50,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,59_13,Clustered,2,VC_59_13,2,0.0084,0.95345565,0.008,2,1,1,1.0
51,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,59_0,Clustered,3,VC_59_0,3,0.0212,0.99860068,0.0212,1,1,1,1.0
52,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,98_0,Clustered,7,VC_98_0,7,0.6161,1.0,0.6161,1,1,1,1.0
53,Aggregatibacter~phage~S1249,Caudovirales,Myoviridae,Unassigned,4_0,Clustered,2,VC_4_0,2,0.3773,0.95048795,0.3587,1,1,1,1.0
54,Anabaena~phage~A-4L,Caudovirales,Podoviridae,Unassigned,107_0,Clustered,4,VC_107_0,4,1.0,1.0,1.0,1,1,1,1.0
55,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,108_0,Clustered,2,VC_108_0,2,0.8354,0.72985431,0.6098,1,2,2,1.0
56,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Marthavirus,109_0,Clustered,2,VC_109_0,2,0.914,0.5,0.457,2,1,1,1.0
57,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,111_0,Clustered,2,VC_111_0,2,1.0,1.0,1.0,1,1,1,1.0
58,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,111_0,Clustered,2,VC_111_0,2,1.0,1.0,1.0,1,1,1,1.0
59,Arthrobacter~phage~Mudcat,Caudovirales,Siphoviridae,Mudcatvirus,112_1,Clustered,5,VC_112_1,5,0.2294,0.99536464,0.2283,2,2,2,1.0
60,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arv1virus,109_0,Clustered,2,VC_109_0,2,0.914,0.5,0.457,2,1,1,1.0
61,Azospirillum~phage~Cd,Caudovirales,Siphoviridae,Unassigned,123_0,Clustered,2,VC_123_0,2,0.056,0.76001489,0.0426,1,2,2,1.0
332,Bacillus~phage~Aurora,Caudovirales,Podoviridae,Phi29virus,428_0,Clustered,4,VC_428_0,4,0.6701,0.99988695,0.6701,1,1,1,1.0
333,Bacillus~phage~AvesoBmore,Caudovirales,Myoviridae,B4virus,177_2,Clustered,5,VC_177_2,5,0.0705,0.99999994,0.0705,1,1,1,1.0
334,Bacillus~phage~B4,Caudovirales,Myoviridae,B4virus,177_3,Clustered,2,VC_177_3,2,0.017,0.94786922,0.0161,1,1,1,1.0
335,Bacillus~phage~BCJA1c,Caudovirales,Siphoviridae,Unassigned,293_0,Clustered,5,VC_293_0,5,0.1711,0.99998607,0.1711,1,2,2,1.0
336,Bacillus~phage~BCP78,Caudovirales,Myoviridae,Tsarbombavirus,177_5,Clustered,2,VC_177_5,2,0.0184,0.95681303,0.0176,1,1,1,1.0
337,Bacillus~phage~BCP8-2,Caudovirales,Myoviridae,Bc431virus,177_6,Clustered,5,VC_177_6,5,0.0748,0.99999997,0.0748,1,1,1,0.8
338,Bacillus~phage~BPS10C,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
339,Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
340,Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,443_0,Clustered,4,VC_443_0,4,1.0,1.0,1.0,1,1,1,1.0
341,Bacillus~phage~Bastille,Caudovirales,Myoviridae,Bastillevirus,177_1,Clustered,4,VC_177_1,4,0.0514,0.99998676,0.0514,1,1,1,1.0
342,Bacillus~phage~Bcp1,Caudovirales,Myoviridae,Bc431virus,177_6,Clustered,5,VC_177_6,5,0.0748,0.99999997,0.0748,1,1,1,0.8
343,Bacillus~phage~Belinda,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
344,Bacillus~phage~BigBertha,Caudovirales,Myoviridae,B4virus,177_2,Clustered,5,VC_177_2,5,0.0705,0.99999994,0.0705,1,1,1,1.0
345,Bacillus~phage~Bobb,Caudovirales,Myoviridae,Agatevirus,177_7,Clustered,3,VC_177_7,3,0.0424,0.99854371,0.0424,1,1,1,1.0
346,Bacillus~phage~Bp8p-C,Caudovirales,Myoviridae,Agatevirus,177_7,Clustered,3,VC_177_7,3,0.0424,0.99854371,0.0424,1,1,1,1.0
347,Bacillus~phage~CAM003,Caudovirales,Myoviridae,Bastillevirus,177_1,Clustered,4,VC_177_1,4,0.0514,0.99998676,0.0514,1,1,1,1.0
348,Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,179_0,Clustered,2,VC_179_0,2,0.0609,0.95671352,0.0582,1,1,1,1.0
349,Bacillus~phage~Claudi,Caudovirales,Podoviridae,Phi29virus,428_0,Clustered,4,VC_428_0,4,0.6701,0.99988695,0.6701,1,1,1,1.0
350,Bacillus~phage~DIGNKC,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
351,Bacillus~phage~Deep~Blue,Caudovirales,Myoviridae,Bc431virus,177_6,Clustered,5,VC_177_6,5,0.0748,0.99999997,0.0748,1,1,1,0.8
352,Bacillus~phage~DirtyBetty,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
353,Bacillus~phage~Eldridge,Caudovirales,Myoviridae,Unassigned,177_11,Clustered,2,VC_177_11,2,0.0207,0.95680509,0.0198,1,1,1,1.0
354,Bacillus~phage~Evoli,Caudovirales,Myoviridae,Bastillevirus,177_1,Clustered,4,VC_177_1,4,0.0514,0.99998676,0.0514,1,1,1,1.0
355,Bacillus~phage~Eyuki,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
356,Bacillus~phage~Fah,Caudovirales,Siphoviridae,Wbetavirus,437_0,Clustered,4,VC_437_0,4,0.2679,0.99988176,0.2678,2,1,1,1.0
357,Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,443_0,Clustered,4,VC_443_0,4,1.0,1.0,1.0,1,1,1,1.0
358,Bacillus~phage~Gamma,Caudovirales,Siphoviridae,Wbetavirus,437_0,Clustered,4,VC_437_0,4,0.2679,0.99988176,0.2678,2,1,1,1.0
359,Bacillus~phage~Grass,Caudovirales,Myoviridae,Nit1virus,177_8,Clustered,2,VC_177_8,2,0.0214,0.9568437,0.0205,1,1,1,1.0
360,Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
361,Bacillus~phage~Hoody~T,Caudovirales,Myoviridae,Bastillevirus,177_1,Clustered,4,VC_177_1,4,0.0514,0.99998676,0.0514,1,1,1,1.0
362,Bacillus~phage~JBP901,Caudovirales,Myoviridae,Bc431virus,177_6,Clustered,5,VC_177_6,5,0.0748,0.99999997,0.0748,1,1,1,0.8
363,Bacillus~phage~Kida,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
364,Bacillus~phage~MG-B1,Caudovirales,Podoviridae,Phi29virus,428_0,Clustered,4,VC_428_0,4,0.6701,0.99988695,0.6701,1,1,1,1.0
365,Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
366,Bacillus~phage~Moonbeam,Caudovirales,Myoviridae,Unassigned,177_11,Clustered,2,VC_177_11,2,0.0207,0.95680509,0.0198,1,1,1,1.0
367,Bacillus~phage~Nemo,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
368,Bacillus~phage~Nigalana,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
369,Bacillus~phage~NotTheCreek,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
370,Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,438_0,Clustered,6,VC_438_0,6,0.8447,1.0,0.8447,1,1,1,1.0
371,Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,438_0,Clustered,6,VC_438_0,6,0.8447,1.0,0.8447,1,1,1,1.0
372,Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,438_0,Clustered,6,VC_438_0,6,0.8447,1.0,0.8447,1,1,1,1.0
373,Bacillus~phage~Pavlov,Caudovirales,Podoviridae,Pagevirus,438_0,Clustered,6,VC_438_0,6,0.8447,1.0,0.8447,1,1,1,1.0
374,Bacillus~phage~PfEFR-5,Caudovirales,Siphoviridae,Unassigned,437_0,Clustered,4,VC_437_0,4,0.2679,0.99988176,0.2678,2,1,1,1.0
375,Bacillus~phage~Phrodo,Caudovirales,Myoviridae,B4virus,177_2,Clustered,5,VC_177_2,5,0.0705,0.99999994,0.0705,1,1,1,1.0
376,Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,438_0,Clustered,6,VC_438_0,6,0.8447,1.0,0.8447,1,1,1,1.0
377,Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,438_0,Clustered,6,VC_438_0,6,0.8447,1.0,0.8447,1,1,1,1.0
378,Bacillus~phage~Riley,Caudovirales,Myoviridae,B4virus,177_2,Clustered,5,VC_177_2,5,0.0705,0.99999994,0.0705,1,1,1,1.0
379,Bacillus~phage~SPP1,Caudovirales,Siphoviridae,Unassigned,260_0,Clustered,2,VC_260_0,2,0.0867,0.95093437,0.0824,1,1,1,1.0
380,Bacillus~phage~SageFayge,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
381,Bacillus~phage~SalinJah,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
382,Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,447_0,Clustered,4,VC_447_0,4,0.9931,0.99746257,0.9906,1,1,1,1.0
383,Bacillus~phage~Spock,Caudovirales,Myoviridae,B4virus,177_3,Clustered,2,VC_177_3,2,0.017,0.94786922,0.0161,1,1,1,1.0
384,Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,447_0,Clustered,4,VC_447_0,4,0.9931,0.99746257,0.9906,1,1,1,1.0
385,Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,447_0,Clustered,4,VC_447_0,4,0.9931,0.99746257,0.9906,1,1,1,1.0
386,Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,447_0,Clustered,4,VC_447_0,4,0.9931,0.99746257,0.9906,1,1,1,1.0
387,Bacillus~phage~Stitch,Caudovirales,Podoviridae,Phi29virus,428_0,Clustered,4,VC_428_0,4,0.6701,0.99988695,0.6701,1,1,1,1.0
388,Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,445_0,Clustered,2,VC_445_0,2,0.6208,0.93973606,0.5834,1,1,1,1.0
389,Bacillus~phage~Troll,Caudovirales,Myoviridae,B4virus,177_2,Clustered,5,VC_177_2,5,0.0705,0.99999994,0.0705,1,1,1,1.0
390,Bacillus~phage~TsarBomba,Caudovirales,Myoviridae,Tsarbombavirus,177_5,Clustered,2,VC_177_5,2,0.0184,0.95681303,0.0176,1,1,1,1.0
391,Bacillus~phage~VMY22,Caudovirales,Podoviridae,Phi29virus,375_0,Clustered,4,VC_375_0,4,0.3973,0.99957707,0.3971,1,1,1,1.0
392,Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
393,Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,443_0,Clustered,4,VC_443_0,4,1.0,1.0,1.0,1,1,1,1.0
394,Bacillus~phage~Zuko,Caudovirales,Myoviridae,Wphvirus,177_0,Clustered,16,VC_177_0,16,0.3158,1.0,0.3158,1,1,1,0.8417
395,Bacillus~phage~phiAGATE,Caudovirales,Myoviridae,Agatevirus,177_7,Clustered,3,VC_177_7,3,0.0424,0.99854371,0.0424,1,1,1,1.0
396,Bacillus~phage~phiNIT1,Caudovirales,Myoviridae,Nit1virus,177_8,Clustered,2,VC_177_8,2,0.0214,0.9568437,0.0205,1,1,1,1.0
397,Bacillus~phage~vB_BceM_Bc431v3,Caudovirales,Myoviridae,Bc431virus,177_6,Clustered,5,VC_177_6,5,0.0748,0.99999997,0.0748,1,1,1,0.8
398,Bacillus~virus~1,Caudovirales,Myoviridae,Svunavirus,216_0,Clustered,2,VC_216_0,2,0.291,0.95186245,0.277,1,1,1,1.0
399,Bacillus~virus~250,Caudovirales,Siphoviridae,Cecivirus,251_0,Clustered,2,VC_251_0,2,0.3481,0.94715141,0.3297,1,1,1,1.0
400,Bacillus~virus~AP50,Unassigned,Tectiviridae,Betatectivirus,443_0,Clustered,4,VC_443_0,4,1.0,1.0,1.0,1,1,1,1.0
401,Bacillus~virus~Andromeda,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
402,Bacillus~virus~B103,Caudovirales,Podoviridae,Phi29virus,375_0,Clustered,4,VC_375_0,4,0.3973,0.99957707,0.3971,1,1,1,1.0
403,Bacillus~virus~BMBtp2,Caudovirales,Siphoviridae,Tp21virus,445_0,Clustered,2,VC_445_0,2,0.6208,0.93973606,0.5834,1,1,1,1.0
404,Bacillus~virus~Blastoid,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
405,Bacillus~virus~Curly,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
406,Bacillus~virus~Eoghan,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
407,Bacillus~virus~Finn,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
408,Bacillus~virus~GA1,Caudovirales,Podoviridae,Phi29virus,375_0,Clustered,4,VC_375_0,4,0.3973,0.99957707,0.3971,1,1,1,1.0
409,Bacillus~virus~Glittering,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
410,Bacillus~virus~IEBH,Caudovirales,Siphoviridae,Cecivirus,251_0,Clustered,2,VC_251_0,2,0.3481,0.94715141,0.3297,1,1,1,1.0
411,Bacillus~virus~Riggi,Caudovirales,Siphoviridae,Andromedavirus,452_0,Clustered,7,VC_452_0,7,1.0,1.0,1.0,1,1,1,1.0
412,Bacillus~virus~SPO1,Caudovirales,Myoviridae,Spo1virus,179_0,Clustered,2,VC_179_0,2,0.0609,0.95671352,0.0582,1,1,1,1.0
413,Bacillus~virus~Wbeta,Caudovirales,Siphoviridae,Wbetavirus,437_0,Clustered,4,VC_437_0,4,0.2679,0.99988176,0.2678,2,1,1,1.0
414,Bacillus~virus~phi29,Caudovirales,Podoviridae,Phi29virus,375_0,Clustered,4,VC_375_0,4,0.3973,0.99957707,0.3971,1,1,1,1.0
415,Bacteriophage~APSE-2,Caudovirales,Podoviridae,Unassigned,252_0,Clustered,4,VC_252_0,4,0.144,0.99337641,0.1431,1,2,2,1.0
416,Bacteroides~phage~B124-14,Caudovirales,Siphoviridae,Unassigned,254_0,Clustered,2,VC_254_0,2,0.5467,0.93964592,0.5137,1,1,1,1.0
417,Bacteroides~phage~B40-8,Caudovirales,Siphoviridae,Unassigned,254_0,Clustered,2,VC_254_0,2,0.5467,0.93964592,0.5137,1,1,1,1.0
418,Bdellovibrio~phage~phi1402,Caudovirales,Myoviridae,Unassigned,454_0,Clustered,3,VC_454_0,3,0.3999,0.89435023,0.3576,1,2,2,1.0
419,Bdellovibrio~phage~phiMH2K,Unassigned,Microviridae,Bdellomicrovirus,284_0,Clustered,13,VC_284_0,13,0.8242,1.0,0.8242,3,2,1,1.0
1184,Brevibacillus~phage~Abouo,Caudovirales,Myoviridae,Abouovirus,272_0,Clustered,4,VC_272_0,4,0.6027,0.99997878,0.6027,2,1,1,1.0
1185,Brevibacillus~phage~Davies,Caudovirales,Myoviridae,Abouovirus,272_0,Clustered,4,VC_272_0,4,0.6027,0.99997878,0.6027,2,1,1,1.0
1186,Brevibacillus~phage~Jimmer1,Caudovirales,Myoviridae,Jimmervirus,272_0,Clustered,4,VC_272_0,4,0.6027,0.99997878,0.6027,2,1,1,1.0
1187,Brevibacillus~phage~Osiris,Caudovirales,Myoviridae,Jimmervirus,272_0,Clustered,4,VC_272_0,4,0.6027,0.99997878,0.6027,2,1,1,1.0
1188,Brochothrix~phage~NF5,Caudovirales,Siphoviridae,Unassigned,471_0,Clustered,5,VC_471_0,5,0.0572,0.99993506,0.0572,1,2,2,0.8
1189,Brucella~phage~Pr,Caudovirales,Podoviridae,Prtbvirus,494_0,Clustered,2,VC_494_0,2,0.7649,0.94328181,0.7215,1,1,1,1.0
1190,Brucella~phage~Tb,Caudovirales,Podoviridae,Prtbvirus,494_0,Clustered,2,VC_494_0,2,0.7649,0.94328181,0.7215,1,1,1,1.0
1191,Burkholderia~phage~Bcep176,Caudovirales,Siphoviridae,Unassigned,124_0,Clustered,5,VC_124_0,5,0.2463,0.99999996,0.2463,2,1,1,1.0
1192,Burkholderia~phage~BcepB1A,Caudovirales,Myoviridae,Unassigned,385_0,Clustered,2,VC_385_0,2,0.0434,0.95047618,0.0413,1,1,1,1.0
1193,Burkholderia~phage~JG068,Caudovirales,Podoviridae,Unassigned,48_0,Clustered,10,VC_48_0,10,0.2304,1.0,0.2304,2,1,1,1.0
1194,Burkholderia~phage~KL1,Caudovirales,Siphoviridae,Septima3virus,1_0,Clustered,10,VC_1_0,10,0.7158,1.0,0.7158,3,1,1,1.0
1195,Burkholderia~phage~KL3,Caudovirales,Myoviridae,P2virus,99_0,Clustered,29,VC_99_0,29,0.8448,1.0,0.8448,1,1,1,1.0
1196,Burkholderia~phage~KS14,Caudovirales,Myoviridae,P2virus,99_0,Clustered,29,VC_99_0,29,0.8448,1.0,0.8448,1,1,1,1.0
